2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T08:30:18, 2026-03-28T08:40:35, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 50, 50, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 613.348816, 141.421, 2.74826e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T08:40:35, 2026-03-28T08:51:02, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 50, 50, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 622.818359, 139.329, 2.64867e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T08:51:02, 2026-03-28T09:01:22, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 50, 50, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 617.148132, 140.54, 2.59764e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T09:01:22, 2026-03-28T09:11:35, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 50, 50, 50, 50, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 610.074219, 142.233, 2.69581e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T06:51:44, 2026-03-28T07:00:19, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 500, 500, 500, 500, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 510.908386, 170.105, 1.96003e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:00:20, 2026-03-28T07:08:53, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 500, 500, 500, 500, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 510.580048, 170.526, 2.25375e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:08:53, 2026-03-28T07:17:26, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 500, 500, 500, 500, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 510.067780, 170.213, 2.00386e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:17:26, 2026-03-28T07:26:00, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 500, 500, 500, 500, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 511.187744, 170.032, 2.01564e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T07:26:01, 2026-03-28T07:34:36, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 500, 500, 500, 500, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 512.493164, 169.477, 3.47529e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T05:27:17, 2026-03-28T05:35:38, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5000, 5000, 5000, 5000, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 495.981018, 174.986, 1.75905e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T05:35:39, 2026-03-28T05:44:05, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5000, 5000, 5000, 5000, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 501.924133, 173.009, 1.83151e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T05:44:05, 2026-03-28T05:52:43, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5000, 5000, 5000, 5000, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 514.966064, 168.6, 0.000254053
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T05:52:43, 2026-03-28T06:01:09, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5000, 5000, 5000, 5000, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 501.180237, 173.313, 2.06114e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T06:01:09, 2026-03-28T06:09:33, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 5000, 5000, 5000, 5000, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 499.148376, 173.875, 2.02887e-05
2026-03-26T11:28:14, 2026-03-28T04:45:08, 2026-03-28T10:13:37, 2026-03-28T10:34:55, sol, 1, sg045, 1, 0, a100, 48, 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47, fileio-3, performance, prod, 1, sg045, 1, 'NVIDIA A100-SXM4-80GB', 0, 46, N/A, 1, 45, 5000, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, N/A, 2, 500000, 1275.924316, 67.8709, 4.83581e-05
